season,band,predictor,cv_corr
AMJ,North,wvg3,0.07
AMJ,North,persistence,-0.354
AMJ,North,sst_projection,0.084
AMJ,North,combo_top2,-0.237
JJA,National,nino34,-0.47
JJA,National,atl3,0.288
JJA,National,tna,-0.834
JJA,National,tsa,0.267
JJA,National,atl_grad,0.027
JJA,National,iod_dmi,0.24
JJA,National,wvg2,-0.091
JJA,National,wvg3,-0.141
JJA,National,persistence,-0.281
JJA,National,sst_projection,0.344
JJA,National,combo_top2,0.142
JJA,South,nino34,-0.531
JJA,South,atl3,-0.078
JJA,South,tna,-0.651
JJA,South,tsa,-0.155
JJA,South,atl_grad,-0.115
JJA,South,iod_dmi,-0.047
JJA,South,wvg2,-0.599
JJA,South,wvg3,-0.57
JJA,South,persistence,-0.838
JJA,South,sst_projection,-0.025
JJA,South,combo_top2,-0.227
JJA,Middle,nino34,-0.664
JJA,Middle,atl3,0.362
JJA,Middle,tna,-0.893
JJA,Middle,tsa,0.298
JJA,Middle,atl_grad,0.108
JJA,Middle,iod_dmi,0.265
JJA,Middle,wvg2,-0.149
JJA,Middle,wvg3,-0.206
JJA,Middle,persistence,-0.546
JJA,Middle,sst_projection,0.38
JJA,Middle,combo_top2,0.307
JJA,North,nino34,-0.542
JJA,North,atl3,0.042
JJA,North,tna,-0.259
JJA,North,tsa,0.112
JJA,North,atl_grad,-0.459
JJA,North,iod_dmi,-0.044
JJA,North,wvg2,-0.003
JJA,North,wvg3,-0.092
JJA,North,persistence,-0.487
JJA,North,sst_projection,0.421
JJA,North,combo_top2,-0.155
JAS,National,nino34,-0.085
JAS,National,atl3,0.292
JAS,National,tna,-0.174
JAS,National,tsa,0.184
JAS,National,atl_grad,0.235
JAS,National,iod_dmi,-0.246
JAS,National,wvg2,0.014
JAS,National,wvg3,0.0
JAS,National,persistence,0.083
JAS,National,sst_projection,0.208
JAS,National,combo_top2,0.091
JAS,South,nino34,-0.38
JAS,South,atl3,0.174
JAS,South,tna,-0.248
JAS,South,tsa,-0.114
JAS,South,atl_grad,0.013
JAS,South,iod_dmi,-0.097
JAS,South,wvg2,-0.685
JAS,South,wvg3,-0.598
JAS,South,persistence,-0.246
JAS,South,sst_projection,-0.007
JAS,South,combo_top2,-0.143
JAS,Middle,nino34,-0.687
JAS,Middle,atl3,0.28
JAS,Middle,tna,-0.059
JAS,Middle,tsa,0.261
JAS,Middle,atl_grad,0.362
JAS,Middle,iod_dmi,-0.432
JAS,Middle,wvg2,-0.196
JAS,Middle,wvg3,-0.239
JAS,Middle,persistence,-0.781
JAS,Middle,sst_projection,0.255
JAS,Middle,combo_top2,0.324
JAS,North,nino34,0.086
JAS,North,atl3,-0.038
JAS,North,tna,-0.73
JAS,North,tsa,-0.058
JAS,North,atl_grad,-0.077
JAS,North,iod_dmi,-0.749
JAS,North,wvg2,0.214
JAS,North,wvg3,0.169
JAS,North,persistence,0.183
JAS,North,sst_projection,0.232
JAS,North,combo_top2,0.122
JJAS,National,nino34,-0.395
JJAS,National,atl3,0.317
JJAS,National,tna,-0.892
JJAS,National,tsa,0.295
JJAS,National,atl_grad,0.053
JJAS,National,iod_dmi,-0.136
JJAS,National,wvg2,0.003
JJAS,National,wvg3,-0.043
JJAS,National,persistence,0.135
JJAS,National,sst_projection,0.372
JJAS,National,combo_top2,0.079
JJAS,South,nino34,-0.381
JJAS,South,atl3,-0.005
JJAS,South,tna,-0.651
JJAS,South,tsa,-0.07
JJAS,South,atl_grad,-0.131
JJAS,South,iod_dmi,-0.134
JJAS,South,wvg2,-0.39
JJAS,South,wvg3,-0.379
JJAS,South,persistence,-0.321
JJAS,South,sst_projection,0.076
JJAS,South,combo_top2,-0.495
JJAS,Middle,nino34,-0.857
JJAS,Middle,atl3,0.37
JJAS,Middle,tna,-0.752
JJAS,Middle,tsa,0.317
JJAS,Middle,atl_grad,0.172
JJAS,Middle,iod_dmi,-0.048
JJAS,Middle,wvg2,-0.103
JJAS,Middle,wvg3,-0.166
JJAS,Middle,persistence,-0.7
JJAS,Middle,sst_projection,0.464
JJAS,Middle,combo_top2,0.31
JJAS,North,nino34,-0.42
JJAS,North,atl3,0.117
JJAS,North,tna,-0.44
JJAS,North,tsa,0.143
JJAS,North,atl_grad,-0.263
JJAS,North,iod_dmi,-0.796
JJAS,North,wvg2,0.003
JJAS,North,wvg3,-0.076
JJAS,North,persistence,0.166
JJAS,North,sst_projection,0.326
JJAS,North,combo_top2,-0.094
ASO,National,nino34,-0.038
ASO,National,atl3,0.247
ASO,National,tna,-0.121
ASO,National,tsa,0.153
ASO,National,atl_grad,0.261
ASO,National,iod_dmi,-0.135
ASO,National,wvg2,-0.001
ASO,National,wvg3,0.002
ASO,National,persistence,-0.737
ASO,National,sst_projection,0.048
ASO,National,combo_top2,0.207
ASO,South,nino34,0.005
ASO,South,atl3,0.298
ASO,South,tna,-0.14
ASO,South,tsa,-0.041
ASO,South,atl_grad,0.126
ASO,South,iod_dmi,-0.206
ASO,South,wvg2,-0.257
ASO,South,wvg3,-0.174
ASO,South,persistence,-0.231
ASO,South,sst_projection,0.147
ASO,South,combo_top2,0.196
ASO,Middle,nino34,-0.683
ASO,Middle,atl3,0.162
ASO,Middle,tna,0.021
ASO,Middle,tsa,0.162
ASO,Middle,atl_grad,0.346
ASO,Middle,iod_dmi,-0.107
ASO,Middle,wvg2,-0.348
ASO,Middle,wvg3,-0.39
ASO,Middle,persistence,-0.787
ASO,Middle,sst_projection,0.03
ASO,Middle,combo_top2,0.253
ASO,North,nino34,0.033
ASO,North,atl3,-0.154
ASO,North,tna,-0.827
ASO,North,tsa,0.01
ASO,North,atl_grad,-0.049
ASO,North,iod_dmi,-0.389
ASO,North,wvg2,0.181
ASO,North,wvg3,0.146
ASO,North,persistence,-0.869
ASO,North,sst_projection,0.174
ASO,North,combo_top2,0.068
SON,National,nino34,-0.302
SON,National,atl3,-0.339
SON,National,tna,-0.723
SON,National,tsa,-0.259
SON,National,atl_grad,-0.336
SON,National,iod_dmi,-0.045
SON,National,wvg2,-0.233
SON,National,wvg3,-0.182
SON,National,persistence,0.105
SON,National,sst_projection,-0.084
SON,National,combo_top2,0.023
SON,South,nino34,-0.305
SON,South,atl3,-0.158
SON,South,tna,-0.663
SON,South,tsa,-0.285
SON,South,atl_grad,-0.412
SON,South,iod_dmi,0.042
SON,South,wvg2,-0.411
SON,South,wvg3,-0.287
SON,South,persistence,-0.093
SON,South,sst_projection,-0.125
SON,South,combo_top2,-0.181
SON,Middle,nino34,-0.731
SON,Middle,atl3,-0.888
SON,Middle,tna,-0.487
SON,Middle,tsa,-0.513
SON,Middle,atl_grad,-0.272
SON,Middle,iod_dmi,-0.145
SON,Middle,wvg2,-0.463
SON,Middle,wvg3,-0.429
SON,Middle,persistence,-0.166
SON,Middle,sst_projection,-0.167
SON,Middle,combo_top2,-0.182
SON,North,nino34,-0.164
SON,North,atl3,-0.459
SON,North,tna,-0.71
SON,North,tsa,-0.213
SON,North,atl_grad,-0.602
SON,North,iod_dmi,-0.551
SON,North,wvg2,-0.04
SON,North,wvg3,-0.065
SON,North,persistence,0.408
SON,North,sst_projection,0.044
SON,North,combo_top2,0.359
OND,National,nino34,-0.58
OND,National,atl3,-0.653
OND,National,tna,-0.833
OND,National,tsa,-0.616
OND,National,atl_grad,-0.762
OND,National,iod_dmi,0.163
OND,National,wvg2,-0.693
OND,National,wvg3,-0.717
OND,National,persistence,0.173
OND,National,sst_projection,-0.12
OND,National,combo_top2,0.239
OND,South,nino34,-0.739
OND,South,atl3,-0.376
OND,South,tna,-0.305
OND,South,tsa,-0.467
OND,South,atl_grad,-0.577
OND,South,iod_dmi,0.102
OND,South,wvg2,-0.734
OND,South,wvg3,-0.673
OND,South,persistence,-0.03
OND,South,sst_projection,-0.039
OND,South,combo_top2,0.027
OND,Middle,nino34,-0.41
OND,Middle,atl3,-0.887
OND,Middle,tna,-0.425
OND,Middle,tsa,-0.815
OND,Middle,atl_grad,-0.377
OND,Middle,iod_dmi,0.073
OND,Middle,wvg2,-0.455
OND,Middle,wvg3,-0.521
OND,Middle,persistence,0.042
OND,Middle,sst_projection,-0.367
OND,Middle,combo_top2,0.05
OND,North,nino34,-0.657
OND,North,atl3,-0.834
OND,North,tna,-0.375
OND,North,tsa,-0.612
OND,North,atl_grad,-0.198
OND,North,iod_dmi,0.137
OND,North,wvg2,-0.845
OND,North,wvg3,-0.835
OND,North,persistence,0.178
OND,North,sst_projection,-0.225
OND,North,combo_top2,0.294
